TrilogyCampusName,ID,Provider Number,loc_code,CompetitorFacilityName,OwnerOperator,Address,City,State,Zip,Latitude,Longitude,GCAccuracy,ServiceLines,HC,AL,MC,IL,SMC,HC_DateOfRoomRates,HC_DateOfNextIncrease,HC_ExpectedRateIncrease,HC_PrivateRoomRate,HC_PrivateDeluxeRoomRate,HC_CompanionSemiPrivateRoomRate,HC_2ndPersonFee,HC_AdultDayRoomRate,HC_AdultNightRoomRate,HC_RehabToHomeRate,AL_DateOfRoomRates,AL_DateOfNextIncrease,AL_ExpectedRateIncrease,AL_StudioPrivateRoomRate,AL_StudioDeluxePrivateRoomRate,AL_1BRPrivateRoomRate,AL_2BRPrivateRoomRate,AL_StudioCompanionRoomRate,AL_1BRCompanionRoomRate,AL_2BRCompanionRoomRate,AL_2ndPersonFee,AL_AdultDayRoomRate,AL_AdultNightRoomRate,MC_DateOfRoomRates,MC_DateOfNextIncrease,MC_ExpectedRateIncrease,MC_ALStudioRoomRate,MC_ALCompanionRoomRate,MC_HCStudioRoomRate,MC_HCCompanionRoomRate,MC_2ndPersonFee,MC_AdultDayRoomRate,MC_AdultNightRoomRate,IL_DateOfRoomRates,IL_DateOfNextIncrease,IL_ExpectedRateIncrease,IL_VillaStudioPrivateRoomRate,IL_Villa1BRPrivateRoomRate,IL_Villa2BRPrivateRoomRate,IL_VillaStudioCompanionRoomRate,IL_Villa1BRCompanionRoomRate,IL_Villa2BRCompanionRoomRate,IL_Villa2ndPersonFee,IL_ILStudioRoomRate,IL_IL1BRRoomRate,IL_IL2BRRoomRate,IL_ILStudioCompanionRoomRate,IL_IL1BRCompanionRoomRate,IL_IL2BRCompanionRoomRate,IL_IL2ndPersonFee,IL_ILAdultDayRoomRate,IL_ILAdultNightRoomRate,SMC_DateOfRoomRates,SMC_DateOfNextIncrease,SMC_ExpectedRateIncrease,SMC_PrivateRoomRate,SMC_PrivateDeluxeRoomRate,SMC_CompanionRoomRate,SMC_2ndPersonFee,HC_Level1,HC_Level2,HC_Level3,HC_Level4,HC_CareLevelAdjustment,AL_Level1,AL_Level2,AL_Level3,AL_Level4,AL_Level5,AL_Level6,AL_CareLevelAdjustment,MC_Level1,MC_Level2,MC_Level3,MC_Level4,MC_Level5,MC_Level6,MC_CareLevelAdjustment,SMC_Level1,SMC_Level2,SMC_Level3,SMC_Level4,SMC_CareLevelAdjustment,HC_MedicationManagement,AL_CommunityFee,AL_DepositAmount,AL_MedicationManagement,MC_CommunityFee,MC_DepositAmount,MC_MedicationManagement,IL_CommunityFee,IL_DepositAmount,IL_MedicationManagement,SMC_MedicationManagement,IL_Comp_Weight,IL_Comp_Care_Adj,IL_Comp_Other_Adj,AL_Comp_Weight,AL_Comp_Care_Adj,AL_Comp_Other_Adj,AL/MC_Comp_Weight,AL/MC_Comp_Care_Adj,AL/MC_Comp_Other_Adj,HC_Comp_Weight,HC_Comp_Care_Adj,HC_Comp_Other_Adj,HC/MC_Comp_Weight,HC/MC_Comp_Care_Adj,HC/MC_Comp_Other_Adj,Origin,Destination,DrivingTime
Columbus - 107,3872,155442,107,Hickory Creek At Franklin,,1130 N Main St,Franklin,IN,46131,39.491079,-86.060629,address,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.245439,-85.902602","39.491079,-86.060629",30 mins
Columbus - 107,4096,155771,107,Franklin United Methodist Community Res & Com Care,,1070 W Jefferson St,Franklin,IN,46131,39.480081,-86.066323,address,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.245439,-85.902602","39.480081,-86.066323",28 mins
Columbus - 107,3932,155535,107,Willow Crossing Health & Rehabilitation Center,Magnolia,3550 Central Avenue,Columbus,IN,47203,39.238345,-85.905008,ROOFTOP,"AL, AL-MC, HC, IL, Skilled-M",TRUE,TRUE,TRUE,TRUE,TRUE,1/7/2019,,,399,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/7/2020,1,,,319,,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,,0,,,,,,,,,,yes,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,"39.245439,-85.902602","39.238345,-85.905008",2 mins
Columbus - 107,15320,,107,Mckay Manor,Five Star Senior Living,1475 East McKay Road,Shelbyville,IN,46176,39.504556,-85.755302,RANGE_INTERPOLATED,IL,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/6/2023,,0,,,,,,,,2300,3800,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.245439,-85.902602","39.504556,-85.755302",32 mins
Columbus - 107,16579,,107,Traditions of Columbus,,4000 West Goeller Boulevard,Columbus,IN,47201,39.199188,-85.969451,ROOFTOP,"AL, AL-MC, IL",FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,6/1/2023,1/1/2025,,3995,,4900,5995,,,,,,,1/1/2023,1/1/2024,,7250,,,,,,,1/1/2023,1/1/2024,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,1200,1600,1950,2300,2600,,,,,,,,,,,,,,,3775,,Included,6350,,Included,4200,,,,0,0,0,0.75,0,0,0.5,0,0,0,0,0,0,0,0,"39.245439,-85.902602","39.199188,-85.969451",15 mins
Columbus - 107,16581,,107,Greentree Assisted Living,Discovery Senior Living,4895 Pine Ridge Drive,Columbus,IN,47201,39.197716,-85.976106,ROOFTOP,IL,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/2023,,,,,,,,,,2425,3170,3835,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,included,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.245439,-85.902602","39.197716,-85.976106",16 mins
Columbus - 107,16583,,107,R.L. Rynard Development Corp,Not announced yet,6970 State Road 46,Columbus,IN,47201,39.197261,-85.999585,ROOFTOP,"AL, HC, IL",TRUE,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.245439,-85.902602","39.197261,-85.999585",16 mins
Columbus - 107,15551,,107,Cedar Creek ,Cedar Hurst ,2288 Nicholas Court,Seymour,IN,47274,38.960927,-85.846583,ROOFTOP,AL,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,7/1/2024,,0,2900,,3300,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,1000,1600,,,,,,,,,,,,,,,,,,2000,,Yes,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.245439,-85.902602","38.960927,-85.846583",33 mins
Columbus - 107,21706,,107,Parkside Court ,Holiday Retirement,3660 Central Avenue,Columbus,IN,47203,39.240017,-85.905136,ROOFTOP,IL,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2039,2619,3849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.245439,-85.902602","39.240017,-85.905136",2 mins
Columbus - 107,20695,,107,Vivera Senior Living ,Gardant Management Solutions ,1971 State Street,Columbus,IN,47201,39.196084,-85.901745,ROOFTOP,AL,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,4690,,5335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.245439,-85.902602","39.196084,-85.901745",11 mins
Columbus - 107,15489,,107,Compass Park,Indiana Masonic Homes,690 State Street,Franklin,IN,46131,39.472929,-86.044727,RANGE_INTERPOLATED,HC,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.245439,-85.902602","39.472929,-86.044727",27 mins
Columbus - 107,16592,,107,The Belmont,Magnolia,540 Belmont Drive,Columbus,IN,47201,39.19806,-85.99755,ROOFTOP,"AL-MC, HC",TRUE,FALSE,TRUE,FALSE,FALSE,,4/1/2025,,375,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,"39.245439,-85.902602","39.198060,-85.997550",16 mins
Columbus - 107,20691,,107,Autumn Trace of Seymour ,Autumn Trace Communities ,1409 North Ewing Street,Seymour,IN,47274,38.973133,-85.890869,ROOFTOP,AL,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,7/3/2025,,,,3250,4250,5250,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,50-350/month,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.245439,-85.902602","38.973133,-85.890869",32 mins
Goshen SL - 2184,3667,155109,184,Golden Living Center-mishawaka,,811 E 12th St,Mishawaka,IN,46544,41.651164,-86.168786,address,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"41.542996,-85.816801","41.651164,-86.168786",
Columbus - 107,21772,,107,Timber Creek Village Assisted Living,Greenwood Communities,990 Progress Parkway,Shelbyville,IN,46176,39.500421,-85.752493,ROOFTOP,AL,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,6/30/2025,,,,4460,5060,5326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,800,900,1075,,,,,,,,,,,,,,,,,1400,1500,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.245439,-85.902602","39.500421,-85.752493",32 mins
Columbus - 107,15461,,107,Keepsake Village of Columbus,Capital Senior Living,2564 Fox Pointe Drive,Columbus,IN,47203,39.224423,-85.87098,ROOFTOP,AL-MC,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,9/7/2024,,,3900,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,0,0,0,0,4000,,,,,,,,,,,1500,,0,,,,,0,0,0,0,0,0,0.5,-500,0,0,0,0,0,0,0,"39.245439,-85.902602","39.224423,-85.870980",9 mins
Jasper - 108,15351,,108,The Legends Village,John Helm,1764 Troy Road,Washington,IN,47501,38.63076,-87.165,ROOFTOP,AL,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,7/14/2021,,,,2745,2980,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,20,40,50,,,,,,,,,,,,,,,,0,500,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38.415427,-86.945778","38.630760,-87.165000",33 mins
Goshen SL - 2184,3657,155086,184,Woodland Manor,,343 S Napanee,Elkhart,IN,46514,41.68126,-86.00376,address,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"41.681260,-86.003760",
Jasper - 108,15437,,108,Cedar Creek of Washington,Cedarhurst/Dover,297 South 100 East,Washington,IN,47501,38.652055,-87.147832,ROOFTOP,AL,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,6/19/2025,1/1/2025,,3150,,3900,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,1000,1600,2200,2800,,,,,,,,,,,,,,,,2000,0,fee for outside pharmacy unless VA $250,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38.415427,-86.945778","38.652055,-87.147832",34 mins
Jasper - 108,22883,,108,Bee Hive Housing ,Shane Lindauer,1720 North Chestnut Street,Huntingburg,IN,47542,38.311753,-86.961891,ROOFTOP,AL,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,1/11/2024,1/11/2025,4,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38.415427,-86.945778","38.311753,-86.961891",16 mins
Jasper - 108,15547,,108,Legacy of Jasper,Tony Schantz,1850 Indiana 56,Jasper,IN,47546,38.400249,-86.966293,ROOFTOP,"AL, AL-MC, IL",FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,9/10/2024,,,4044,4712,5611,5835,,,,795,175,,9/10/2024,,,7685,,,,795,175,,8/11/2023,,,,2677,3092,,,,,,,,,,,,,,,,,,,,,,,,,,500,850,1200,1550,1900,2250,,,,,,,,,,,,,,,500,1500,,500,1500,,500,1500,,,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,"38.415427,-86.945778","38.400249,-86.966293",6 mins
Jasper - 108,15522,,108,Lakewood,Jenny Knepp,840 Lakewood Drive,Petersburg,IN,47567,38.433726,-87.236822,ROOFTOP,AL,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,6/16/2025,,,3660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home Health/Hospice,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38.415427,-86.945778","38.433726,-87.236822",24 mins
Jasper - 108,3837,155375,108,Petersburg Care Center,Brickyard,309 West Pike Avenue,Petersburg,IN,47567,38.487282,-87.293504,ROOFTOP,"HC, Skilled-M",TRUE,FALSE,FALSE,FALSE,TRUE,6/16/2025,,0,6739,9252,6168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38.415427,-86.945778","38.487282,-87.293504",31 mins
Louisville GR - 126,15306,,126,Story Point Prospect ,Story Point Senior Living ,6901 Carslaw Court,Prospect,KY,40059,38.341453,-85.620599,ROOFTOP,"AL, AL-MC",FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,9/16/2024,1/1/2025,3,4200,,4975,7677,,,,1200,,,9/16/2024,1/1/2025,3,5250,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739,2062,3897,4254,5846,,,800,1600,2550,,,,,,,,,,,4000,,level of care,4000,,Included,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38.151512,-85.549701","38.341453,-85.620599",24 mins
Louisville GR - 126,15308,,126,Magnolia Springs East,Life Care Services (LCS),13600 La Grange Road,Louisville,KY,40245,38.300084,-85.498218,ROOFTOP,"AL, AL-MC",FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,6/25/2025,1/1/2025,4,4275,5350,5880,8860,,6495,,1025,,,6/25/2025,1/1/2025,4,8020,8555,,,2525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,745,1045,1370,1720,2145,,,,,,,,,,,,,,,3250,0,,3250,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38.151512,-85.549701","38.300084,-85.498218",18 mins
Louisville GR - 126,15571,,126,Southern Indiana Rehab Hospital,Vibra,3104 Blackiston Mill Road,Clarksville,IN,47129,38.333513,-85.793291,RANGE_INTERPOLATED,HC,TRUE,FALSE,FALSE,FALSE,FALSE,1/1/2018,1/1/2019,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38.151512,-85.549701","38.333513,-85.793291",34 mins
Louisville GR - 126,15484,,126,Arcadia Blankenbaker,Arcadia Senior Living,901 Blankenbaker Parkway,Louisville,KY,40243,38.228743,-85.540291,ROOFTOP,"AL, AL-MC, IL",FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,6/13/2025,1/1/2026,,3145,3475,4600,,,,,1250,,,6/13/2025,1/1/2026,,6175,,,,,,,6/13/2025,1/1/2026,,,,,,,,,2580,3025,3475,,,,1250,,,,,,,,,,,,,,,900,1800,2900,,,,,,,,,,,,,,,,,,2000,,150,2000,,150,2000,0,,,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,"38.151512,-85.549701","38.228743,-85.540291",13 mins
Louisville GR - 126,15307,,126,Ashton on Dorsey,Ashton on Dorsey,1105 Dorsey Lane,Louisville,KY,40223,38.266826,-85.56359,ROOFTOP,"AL, AL-MC",FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,9/13/2024,,3,4099,,5699,8099,,,,800,,,9/13/2024,,3,5349,5049,,,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,1500,2500,,,,,,,,,,,,,,,,,,2500,1000,included ,2500,1000,included,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38.151512,-85.549701","38.266826,-85.563590",22 mins
Louisville GR - 126,15485,,126,Creekside on Bardstown,Traditions Senior Living,3535 Bardstown Road,Louisville,KY,40218,38.201286,-85.66199,ROOFTOP,"AL, AL-MC",FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,9/17/2024,1/1/2025,,4100,,,,,,,,,,8/1/2023,1/1/2024,,4550,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,1000,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"38.151512,-85.549701","38.201286,-85.661990",18 mins
